file,page,value,value_clean,Actual,Match,engine,confidence,region,needs_review,review_reason,trace
2036167_0-0.PDF,1,'0-0,0-0,0-0,1,native,high,br_title,no,,"file=2036167_0-0.PDF mode=pymupdf_with_gpt_fallback | page=1 rot=90 layout=modern size=(1191x842) tokens=252 | markers=['Iss.', 'Rev', 'ISSUE', 'Iss.', 'Rev.', 'issue'] |   skip template stamp 'Rev'@(40,822) |   skip inline ref     'ISSUE'@(411,790) |   skip inline ref     'issue'@(353,784) | grid_xs=(47.17320760091146, 1166.775978088379) grid_ys=(22.332178592681885, 817.5060729980469) |   marker 'Iss.'@(1149,777) => 0-0 region=br_title score=164.4 |   marker 'Iss.'@(65,806) => 0-0 region=bl_revtable score=124.0 |   marker 'Rev.'@(875,467) => no value | consolidated => 0-0 region=br_title"
2037962_0-0.pdf,1,'0-0,0-0,0-0,1,native,high,tl_issue,no,,"file=2037962_0-0.pdf mode=pymupdf_with_gpt_fallback | page=1 rot=90 layout=classic size=(842x595) tokens=338 | markers=['ISSUE', 'ISSUE'] |   skip inline ref     'ISSUE'@(91,57) |   marker 'ISSUE'@(28,48) => 0-0 region=tl_issue score=177.1 | consolidated => 0-0 region=tl_issue | page=2 rot=90 layout=classic size=(842x595) tokens=337 | markers=['ISSUE', 'ISSUE'] |   skip inline ref     'ISSUE'@(91,57) |   marker 'ISSUE'@(28,48) => 0-0 region=tl_issue score=177.1 | consolidated => 0-0 region=tl_issue"
2037991_1-0.pdf,1,'1-0,1-0,1-0,1,native,high,br_title,no,,"file=2037991_1-0.pdf mode=pymupdf_with_gpt_fallback | page=1 rot=90 layout=modern size=(1191x842) tokens=308 | markers=['Issue', 'Rev', 'Rev', 'Rev.'] | grid_xs=(49.97321573893229, 1169.6559829711914) grid_ys=(22.37558364868164, 821.6961441040039) |   marker 'Issue'@(42,799) => 1-0 region=bl_revtable score=113.8 |   marker 'Rev'@(1147,777) => 1-0 region=br_title score=168.1 |   marker 'Rev'@(73,807) => 1-0 region=bl_revtable score=123.6 |   marker 'Rev.'@(245,807) => 2 region=bl_revtable score=95.0 | consolidated => 1-0 region=br_title"
2038001_1-0.pdf,1,'1-0,1-0,1-0,1,native,high,br_title,no,,"file=2038001_1-0.pdf mode=pymupdf_with_gpt_fallback | page=1 rot=90 layout=modern size=(1191x842) tokens=313 | markers=['Issue', 'Rev', 'Rev', 'Rev.'] | grid_xs=(49.97321573893229, 1169.6559829711914) grid_ys=(22.37558364868164, 821.6961441040039) |   marker 'Issue'@(42,799) => 1-0 region=bl_revtable score=113.8 |   marker 'Rev'@(1147,777) => 1-0 region=br_title score=168.1 |   marker 'Rev'@(73,807) => 1-0 region=bl_revtable score=123.6 |   marker 'Rev.'@(245,807) => 1 region=bl_revtable score=96.5 | consolidated => 1-0 region=br_title"
2038994_0-0.pdf,1,'0-0,0-0,0-0,1,native,high,br_title,no,,"file=2038994_0-0.pdf mode=pymupdf_with_gpt_fallback | page=1 rot=90 layout=modern size=(1191x842) tokens=262 | markers=['Issue', 'Rev', 'Rev', 'Rev.', 'issue'] |   skip inline ref     'issue'@(353,784) | grid_xs=(49.97321573893229, 1169.6559829711914) grid_ys=(22.37558364868164, 821.6961441040039) |   marker 'Issue'@(42,799) => 0-0 region=bl_revtable score=114.3 |   marker 'Rev'@(1147,777) => 0-0 region=br_title score=168.1 |   marker 'Rev'@(73,807) => 0-0 region=bl_revtable score=123.7 |   marker 'Rev.'@(245,807) => no value | consolidated => 0-0 region=br_title"
2040562_0-0.pdf,1,'0-0,0-0,0-0,1,native,high,br_title,no,,"file=2040562_0-0.pdf mode=pymupdf_with_gpt_fallback | page=1 rot=90 layout=modern size=(1191x842) tokens=285 | markers=['Issue', 'Rev', 'Rev', 'Rev.', 'issue'] |   skip inline ref     'issue'@(353,784) | grid_xs=(49.97321573893229, 1169.6559829711914) grid_ys=(22.37558364868164, 821.6961441040039) |   marker 'Issue'@(42,799) => 0-0 region=bl_revtable score=114.3 |   marker 'Rev'@(1147,777) => 0-0 region=br_title score=168.3 |   marker 'Rev'@(73,807) => 0-0 region=bl_revtable score=123.7 |   marker 'Rev.'@(245,807) => no value | consolidated => 0-0 region=br_title"
2040952_0-0.pdf,1,'0-0,0-0,0-0,1,native,high,br_title,no,,"file=2040952_0-0.pdf mode=pymupdf_with_gpt_fallback | page=1 rot=90 layout=modern size=(1191x842) tokens=278 | markers=['Issue', 'Rev', 'Rev.', 'Rev', 'issue'] |   skip inline ref     'issue'@(353,784) | grid_xs=(49.97321573893229, 1169.6559829711914) grid_ys=(22.37558364868164, 821.6961441040039) |   marker 'Issue'@(42,799) => 0-0 region=bl_revtable score=114.3 |   marker 'Rev'@(73,806) => 0-0 region=bl_revtable score=125.1 |   marker 'Rev.'@(241,806) => no value |   marker 'Rev'@(1147,777) => 0-0 region=br_title score=168.1 | consolidated => 0-0 region=br_title | page=2 rot=90 layout=modern size=(1191x842) tokens=453 | markers=['Issue', 'Rev', 'Rev.', 'Rev', 'issue'] |   skip inline ref     'issue'@(353,784) | grid_xs=(49.97321573893229, 1169.6559829711914) grid_ys=(22.37558364868164, 821.6961441040039) |   marker 'Issue'@(42,799) => 0-0 region=bl_revtable score=114.3 |   marker 'Rev'@(73,806) => 12 region=bl_revtable score=93.7 |   marker 'Rev.'@(241,806) => no value |   marker 'Rev'@(1147,777) => 0-0 region=br_title score=168.1 | consolidated => 0-0 region=br_title"
2041246_0-0.pdf,1,'0-0,0-0,0-0,1,native,high,br_title,no,,"file=2041246_0-0.pdf mode=pymupdf_with_gpt_fallback | page=1 rot=90 layout=modern size=(1191x842) tokens=248 | markers=['Issue', 'Rev', 'Rev', 'Rev.', 'issue'] |   skip inline ref     'issue'@(353,784) | grid_xs=(49.97321573893229, 1169.6559829711914) grid_ys=(22.37558364868164, 821.6961441040039) |   marker 'Issue'@(42,799) => 0-0 region=bl_revtable score=114.3 |   marker 'Rev'@(1147,777) => 0-0 region=br_title score=168.3 |   marker 'Rev'@(73,807) => 0-0 region=bl_revtable score=123.7 |   marker 'Rev.'@(245,807) => no value | consolidated => 0-0 region=br_title"
2043431_0-0.PDF,1,'0-0,0-0,0-0,1,native,high,br_title,no,,"file=2043431_0-0.PDF mode=pymupdf_with_gpt_fallback | page=1 rot=90 layout=modern size=(1191x842) tokens=347 | markers=['Issue', 'Rev', 'Rev', 'Rev.', 'issue'] |   skip inline ref     'issue'@(353,784) | grid_xs=(49.97321573893229, 1169.6559829711914) grid_ys=(22.37558364868164, 821.6961441040039) |   marker 'Issue'@(42,799) => 0-0 region=bl_revtable score=114.3 |   marker 'Rev'@(1147,777) => 0-0 region=br_title score=168.1 |   marker 'Rev'@(73,807) => 0-0 region=bl_revtable score=123.7 |   marker 'Rev.'@(245,807) => no value | consolidated => 0-0 region=br_title"
2044525_1-0.pdf,1,'1-0,1-0,1-0,1,native,high,br_title,no,,"file=2044525_1-0.pdf mode=pymupdf_with_gpt_fallback | page=1 rot=90 layout=modern size=(1191x842) tokens=323 | markers=['Issue', 'Rev', 'Rev', 'Rev.'] | grid_xs=(49.97321573893229, 1169.6559829711914) grid_ys=(22.37558364868164, 821.6961441040039) |   marker 'Issue'@(42,799) => 1-0 region=bl_revtable score=114.3 |   marker 'Rev'@(1147,777) => 1-0 region=br_title score=168.3 |   marker 'Rev'@(73,807) => 1-0 region=bl_revtable score=123.7 |   marker 'Rev.'@(245,807) => no value | consolidated => 1-0 region=br_title"
2048570_0-0.pdf,1,'0-0,0-0,0-0,1,native,high,br_title,no,,"file=2048570_0-0.pdf mode=pymupdf_with_gpt_fallback | page=1 rot=90 layout=modern size=(1191x842) tokens=360 | markers=['Issue', 'Rev', 'Rev', 'Rev.', 'issue'] |   skip inline ref     'issue'@(353,784) | grid_xs=(49.97321573893229, 1169.6559829711914) grid_ys=(22.37558364868164, 821.6961441040039) |   marker 'Issue'@(42,799) => 0-0 region=bl_revtable score=114.3 |   marker 'Rev'@(1147,777) => 0-0 region=br_title score=168.1 |   marker 'Rev'@(73,807) => 0-0 region=bl_revtable score=123.7 |   marker 'Rev.'@(245,807) => no value | consolidated => 0-0 region=br_title"
2050376_0-0.PDF,1,'0-0,0-0,0-0,1,native,high,br_title,no,,"file=2050376_0-0.PDF mode=pymupdf_with_gpt_fallback | page=1 rot=90 layout=modern size=(1191x842) tokens=246 | markers=['Rev', 'Issue', 'Rev', 'Rev.', 'issue'] |   skip inline ref     'issue'@(352,783) | grid_xs=(49.97297159830729, 1169.6531201998393) grid_ys=(22.328368663787842, 821.648681640625) |   marker 'Rev'@(1147,777) => 0-0 region=br_title score=168.1 |   marker 'Issue'@(42,799) => 0-0 region=bl_revtable score=114.3 |   marker 'Rev'@(73,807) => 0-0 region=bl_revtable score=123.7 |   marker 'Rev.'@(245,807) => no value | consolidated => 0-0 region=br_title"
2051217_0-1.pdf,1,'0-1,0-1,0-1,1,native,high,br_title,no,,"file=2051217_0-1.pdf mode=pymupdf_with_gpt_fallback | page=1 rot=90 layout=modern size=(1191x842) tokens=263 | markers=['Issue', 'Rev', 'Rev', 'Rev.'] | grid_xs=(49.97297159830729, 1169.6531201998393) grid_ys=(22.328368663787842, 821.648681640625) |   marker 'Issue'@(42,799) => 0-1 region=bl_revtable score=114.3 |   marker 'Rev'@(1147,777) => 0-1 region=br_title score=168.3 |   marker 'Rev'@(73,807) => 0-1 region=bl_revtable score=123.7 |   marker 'Rev.'@(245,807) => no value | consolidated => 0-1 region=br_title"
2051795_0-1.pdf,1,'0-1,0-1,0-1,1,native,high,br_title,no,,"file=2051795_0-1.pdf mode=pymupdf_with_gpt_fallback | page=1 rot=90 layout=modern size=(1191x842) tokens=289 | markers=['Issue', 'Rev', 'Rev', 'Rev.'] | grid_xs=(49.97297159830729, 1169.6531201998393) grid_ys=(22.328368663787842, 821.648681640625) |   marker 'Issue'@(42,799) => 0-1 region=bl_revtable score=114.3 |   marker 'Rev'@(1147,777) => 0-1 region=br_title score=168.3 |   marker 'Rev'@(73,807) => 0-1 region=bl_revtable score=123.7 |   marker 'Rev.'@(245,807) => no value | consolidated => 0-1 region=br_title"
2060227_1-0.PDF,1,'1-0,1-0,1-0,1,native,high,br_title,no,,"file=2060227_1-0.PDF mode=pymupdf_with_gpt_fallback | page=1 rot=90 layout=modern size=(1191x842) tokens=358 | markers=['Issue', 'Rev', 'Rev', 'Rev.'] | grid_xs=(49.97297159830729, 1169.6531201998393) grid_ys=(22.328368663787842, 821.648681640625) |   marker 'Issue'@(42,799) => 1-0 region=bl_revtable score=114.3 |   marker 'Rev'@(1147,777) => 1-0 region=br_title score=168.3 |   marker 'Rev'@(73,807) => 1-0 region=bl_revtable score=123.7 |   marker 'Rev.'@(245,807) => no value | consolidated => 1-0 region=br_title"
2062905_0-0.PDF,1,'0-0,0-0,0-0,1,native,high,br_title,no,,"file=2062905_0-0.PDF mode=pymupdf_with_gpt_fallback | page=1 rot=90 layout=modern size=(1191x842) tokens=339 | markers=['Issue', 'Rev', 'Rev', 'Rev.', 'issue'] |   skip inline ref     'issue'@(352,783) | grid_xs=(49.97297159830729, 1169.6531201998393) grid_ys=(22.328368663787842, 821.648681640625) |   marker 'Issue'@(42,799) => 0-0 region=bl_revtable score=114.3 |   marker 'Rev'@(1147,777) => 0-0 region=br_title score=168.3 |   marker 'Rev'@(73,807) => 0-0 region=bl_revtable score=123.7 |   marker 'Rev.'@(245,807) => no value | consolidated => 0-0 region=br_title"
8000A1534r01.pdf,1,'01,1,1,1,native,high,br_title,no,,"file=8000A1534r01.pdf mode=pymupdf_with_gpt_fallback | page=1 rot=90 layout=modern size=(1191x842) tokens=411 | markers=['Iss.', 'Rev', 'ISSUE', 'Iss.'] |   skip template stamp 'Rev'@(40,822) |   skip inline ref     'ISSUE'@(411,790) | grid_xs=(47.17320760091146, 1166.775978088379) grid_ys=(22.37558364868164, 821.6961441040039) |   marker 'Iss.'@(1149,777) => 01 region=br_title score=165.3 |   marker 'Iss.'@(65,806) => 1 region=bl_revtable score=135.7 | consolidated => 01 region=br_title"
8000A1535r01.pdf,1,'01,1,1,1,native,high,br_title,no,,"file=8000A1535r01.pdf mode=pymupdf_with_gpt_fallback | page=1 rot=90 layout=modern size=(1191x842) tokens=412 | markers=['Iss.', 'Rev', 'ISSUE', 'Iss.'] |   skip template stamp 'Rev'@(40,822) |   skip inline ref     'ISSUE'@(411,790) | grid_xs=(47.17320760091146, 1166.775978088379) grid_ys=(22.37558364868164, 821.6961441040039) |   marker 'Iss.'@(1149,777) => 01 region=br_title score=165.3 |   marker 'Iss.'@(65,806) => 1 region=bl_revtable score=135.7 | consolidated => 01 region=br_title"
8000A1540r01.pdf,1,'01,1,1,1,native,high,br_title,no,,"file=8000A1540r01.pdf mode=pymupdf_with_gpt_fallback | page=1 rot=90 layout=modern size=(1191x842) tokens=411 | markers=['Iss.', 'Rev', 'ISSUE', 'Iss.'] |   skip template stamp 'Rev'@(40,822) |   skip inline ref     'ISSUE'@(411,790) | grid_xs=(47.17320760091146, 1166.775978088379) grid_ys=(22.37558364868164, 821.6961441040039) |   marker 'Iss.'@(1149,777) => 01 region=br_title score=165.3 |   marker 'Iss.'@(65,806) => 1 region=bl_revtable score=135.7 | consolidated => 01 region=br_title"
8000A754.pdf,1,'A,A,1,0,gpt_vision,high,tl_issue,no,,"file=8000A754.pdf mode=pymupdf_with_gpt_fallback | page=1 rot=0 layout=unknown size=(594x841) tokens=0 | no native tokens | native unsatisfactory — invoking GPT fallback | page 1: |   primary: {'rev_value': 'A', 'region': 'tl_issue', 'confidence': 'high', 'evidence': ""Top-left ISSUE/ALTERATIONS table has header and a single row: 'A | ORIGINAL ISSUE'. No newer rows below. Classic Exeeco layout confirms region.""}"
8000A913rB.pdf,1,'B,B,B,1,native,high,br_title,no,,"file=8000A913rB.pdf mode=pymupdf_with_gpt_fallback | page=1 rot=90 layout=modern size=(1191x842) tokens=411 | markers=['Iss.', 'Rev', 'ISSUE', 'Iss.'] |   skip template stamp 'Rev'@(40,822) |   skip inline ref     'ISSUE'@(411,790) | grid_xs=(47.17320760091146, 1166.775978088379) grid_ys=(22.37558364868164, 821.6961441040039) |   marker 'Iss.'@(1149,777) => B region=br_title score=165.8 |   marker 'Iss.'@(65,806) => B region=bl_revtable score=135.7 | consolidated => B region=br_title"
8000A935rA.pdf,1,'A,A,A,1,native,high,br_title,no,,"file=8000A935rA.pdf mode=pymupdf_with_gpt_fallback | page=1 rot=90 layout=modern size=(1191x842) tokens=413 | markers=['Iss.', 'Rev', 'ISSUE', 'Iss.'] |   skip template stamp 'Rev'@(40,822) |   skip inline ref     'ISSUE'@(411,790) | grid_xs=(47.17320760091146, 1166.775978088379) grid_ys=(22.37558364868164, 821.6961441040039) |   marker 'Iss.'@(1149,777) => A region=br_title score=165.8 |   marker 'Iss.'@(65,806) => A region=bl_revtable score=135.7 | consolidated => A region=br_title"
8000B156.pdf,1,'1,1,1,1,native,high,tl_issue,no,,"file=8000B156.pdf mode=pymupdf_with_gpt_fallback | page=1 rot=0 layout=classic size=(842x595) tokens=104 | markers=['ISSUE', 'ISSUE'] |   skip inline ref     'ISSUE'@(133,86) | grid_xs=(39.01756143569946, -1.0) grid_ys=(-1.0, -1.0) |   marker 'ISSUE'@(39,72) => 1 region=tl_issue score=121.6 | consolidated => 1 region=tl_issue"
8A1246.pdf,1,'01,1,1,1,native,high,br_title,no,,"file=8A1246.pdf mode=pymupdf_with_gpt_fallback | page=1 rot=0 layout=modern size=(595x842) tokens=145 | markers=['Iss.', 'Rev', 'ISSUE', 'Iss.'] |   skip inline ref     'ISSUE'@(414,691) | grid_xs=(-1.0, 573.9447275797526) grid_ys=(15.456713676452637, -1.0) |   marker 'Iss.'@(556,777) => 01 region=br_title score=165.5 |   marker 'Rev'@(52,807) => 01 region=bl_revtable score=96.2 |   marker 'Iss.'@(68,707) => 01 region=bl_revtable score=135.4 | consolidated => 01 region=br_title | page=2 rot=0 layout=unknown size=(595x842) tokens=195 | markers=['Issue', 'Revision'] |   marker 'Issue'@(59,784) => no value |   marker 'Revision'@(66,794) => no value | no marker yielded a value | page=3 rot=0 layout=unknown size=(595x842) tokens=209 | markers=['Issue', 'Revision'] |   marker 'Issue'@(59,784) => no value |   marker 'Revision'@(66,794) => no value | no marker yielded a value | page=4 rot=0 layout=unknown size=(595x842) tokens=277 | markers=['Issue', 'Revision'] |   marker 'Issue'@(59,784) => no value |   marker 'Revision'@(66,794) => no value | no marker yielded a value | page=5 rot=0 layout=unknown size=(595x842) tokens=249 | markers=['Issue', 'Revision'] |   marker 'Issue'@(59,784) => no value |   marker 'Revision'@(66,794) => no value | no marker yielded a value | page=6 rot=0 layout=unknown size=(595x842) tokens=320 | markers=['Issue', 'Revision'] |   marker 'Issue'@(59,784) => no value |   marker 'Revision'@(66,794) => no value | no marker yielded a value | page=7 rot=0 layout=unknown size=(595x842) tokens=207 | markers=['Issue', 'Revision'] |   marker 'Issue'@(59,784) => no value |   marker 'Revision'@(66,794) => no value | no marker yielded a value | page=8 rot=0 layout=unknown size=(595x842) tokens=210 | markers=['Issue', 'Revision'] |   marker 'Issue'@(59,784) => no value |   marker 'Revision'@(66,794) => no value | no marker yielded a value | page=9 rot=0 layout=unknown size=(595x842) tokens=216 | markers=['Issue', 'Revision'] |   marker 'Issue'@(59,784) => no value |   marker 'Revision'@(66,794) => no value | no marker yielded a value | page=10 rot=0 layout=unknown size=(595x842) tokens=200 | markers=['Issue', 'Revision'] |   marker 'Issue'@(59,784) => no value |   marker 'Revision'@(66,794) => no value | no marker yielded a value | page=11 rot=0 layout=unknown size=(595x842) tokens=211 | markers=['Issue', 'Revision'] |   marker 'Issue'@(59,784) => no value |   marker 'Revision'@(66,794) => no value | no marker yielded a value | page=12 rot=0 layout=unknown size=(595x842) tokens=229 | markers=['Issue', 'Revision'] |   marker 'Issue'@(59,784) => no value |   marker 'Revision'@(66,794) => no value | no marker yielded a value | page=13 rot=0 layout=unknown size=(595x842) tokens=191 | markers=['Issue', 'Revision'] |   marker 'Issue'@(59,784) => no value |   marker 'Revision'@(66,794) => no value | no marker yielded a value | page=14 rot=0 layout=unknown size=(595x842) tokens=207 | markers=['Issue', 'Revision', 'Revision'] |   marker 'Issue'@(59,784) => no value |   marker 'Revision'@(66,794) => no value |   marker 'Revision'@(69,740) => no value | no marker yielded a value | page=15 rot=0 layout=unknown size=(595x842) tokens=328 | markers=['Issue', 'Revision', 'Revision'] |   marker 'Issue'@(59,784) => no value |   marker 'Revision'@(66,794) => no value |   marker 'Revision'@(69,424) => no value | no marker yielded a value"
8A1276r01.pdf,1,'01,1,1,1,native,high,br_title,no,,"file=8A1276r01.pdf mode=pymupdf_with_gpt_fallback | page=1 rot=0 layout=modern size=(595x841) tokens=261 | markers=['Iss.', 'Rev', 'ISSUE', 'Iss.'] |   skip inline ref     'ISSUE'@(414,690) | grid_xs=(-1.0, 573.9451751708984) grid_ys=(14.457184791564941, -1.0) |   marker 'Iss.'@(556,776) => 01 region=br_title score=165.5 |   marker 'Rev'@(52,806) => 01 region=bl_revtable score=96.2 |   marker 'Iss.'@(68,706) => 01 region=bl_revtable score=135.4 | consolidated => 01 region=br_title | page=2 rot=0 layout=unknown size=(595x841) tokens=0 | no native tokens | page=3 rot=0 layout=unknown size=(595x841) tokens=0 | no native tokens | page=4 rot=0 layout=unknown size=(595x841) tokens=0 | no native tokens | page=5 rot=0 layout=unknown size=(595x841) tokens=0 | no native tokens | page=6 rot=0 layout=unknown size=(595x841) tokens=0 | no native tokens | page=7 rot=0 layout=unknown size=(595x841) tokens=0 | no native tokens | page=8 rot=0 layout=unknown size=(595x841) tokens=0 | no native tokens | page=9 rot=0 layout=unknown size=(595x841) tokens=0 | no native tokens | page=10 rot=0 layout=unknown size=(595x841) tokens=0 | no native tokens | page=11 rot=0 layout=unknown size=(595x841) tokens=0 | no native tokens | page=12 rot=0 layout=unknown size=(595x841) tokens=0 | no native tokens | page=13 rot=0 layout=unknown size=(595x841) tokens=0 | no native tokens | page=14 rot=0 layout=unknown size=(595x841) tokens=0 | no native tokens"
